Random,HhId,WkrId,Bzone,Azone,Marea,DistanceToWork,PaysForParking,IsCashOut,ParkingCost,IsECO
10,AMATS-15064,AMATS-15064-3,AMATS834,AMATS,AMATS,2.462026037,0,0,0,0
10,AMATS-15098,AMATS-15098-1,AMATS239,AMATS,AMATS,25.13899857,0,0,0,0
10,AMATS-15358,AMATS-15358-1,AMATS559,AMATS,AMATS,21.34435714,0,0,0,0
10,AMATS-15412,AMATS-15412-3,AMATS372,AMATS,AMATS,44.30260905,0,0,0,0
10,AMATS-15458,AMATS-15458-1,AMATS584,AMATS,AMATS,1.15402993,0,0,0,0
10,AMATS-15527,AMATS-15527-1,AMATS406,AMATS,AMATS,3.784609887,1,0,85,0
10,AMATS-15567,AMATS-15567-2,AMATS811,AMATS,AMATS,9.49E-05,0,0,0,0
10,AMATS-15617,AMATS-15617-1,AMATS240,AMATS,AMATS,5.572894671,0,0,0,0
10,AMATS-15667,AMATS-15667-1,AMATS149,AMATS,AMATS,1.561973032,0,0,0,0
10,AMATS-15772,AMATS-15772-2,AMATS216,AMATS,AMATS,2.035873458,0,0,0,0
10,AMATS-15801,AMATS-15801-1,AMATS353,AMATS,AMATS,3.528741594,0,0,0,0
10,AMATS-15899,AMATS-15899-3,AMATS264,AMATS,AMATS,1.164382859,0,0,0,0
10,AMATS-15905,AMATS-15905-1,AMATS672,AMATS,AMATS,15.66901232,0,0,0,0
10,AMATS-15972,AMATS-15972-1,AMATS371,AMATS,AMATS,31.76753178,0,0,0,0
10,AMATS-16084,AMATS-16084-2,AMATS246,AMATS,AMATS,0.468360866,0,0,0,0
10,AMATS-16200,AMATS-16200-2,AMATS393,AMATS,AMATS,61.18522662,1,0,85,0
10,AMATS-16264,AMATS-16264-3,AMATS238,AMATS,AMATS,1.718154521,0,0,0,0
10,AMATS-16401,AMATS-16401-1,AMATS353,AMATS,AMATS,1.923085219,0,0,0,0
10,AMATS-16406,AMATS-16406-2,AMATS52,AMATS,AMATS,54.10015021,0,0,0,0
10,AMATS-16430,AMATS-16430-1,AMATS273,AMATS,AMATS,1.000974296,0,0,0,0
10,AMATS-16446,AMATS-16446-1,AMATS254,AMATS,AMATS,1.230093872,0,0,0,0
10,AMATS-16562,AMATS-16562-2,AMATS239,AMATS,AMATS,5.491865841,0,0,0,0
10,AMATS-16814,AMATS-16814-1,AMATS240,AMATS,AMATS,2.702586982,0,0,0,0
10,AMATS-16819,AMATS-16819-1,AMATS299,AMATS,AMATS,9.49E-05,0,0,0,0
10,AMATS-16906,AMATS-16906-2,AMATS40,AMATS,AMATS,30.4240934,0,0,0,0
10,AMATS-16919,AMATS-16919-1,AMATS117,AMATS,AMATS,10.82205742,0,0,0,0
10,AMATS-16977,AMATS-16977-2,AMATS213,AMATS,AMATS,3.690474362,0,0,0,0
10,AMATS-17000,AMATS-17000-1,AMATS126,AMATS,AMATS,3.991902201,0,0,0,0
10,AMATS-17043,AMATS-17043-1,AMATS559,AMATS,AMATS,11.50923151,0,0,0,0
10,AMATS-17048,AMATS-17048-1,AMATS555,AMATS,AMATS,3.17190196,0,0,0,0
10,AMATS-17079,AMATS-17079-1,AMATS934,AMATS,AMATS,1.433274665,0,0,0,0
10,AMATS-17092,AMATS-17092-1,AMATS25,AMATS,AMATS,9.49E-05,0,0,0,0
10,AMATS-17101,AMATS-17101-2,AMATS364,AMATS,AMATS,0.000134259,0,0,0,0
10,AMATS-17206,AMATS-17206-2,AMATS207,AMATS,AMATS,4.773067585,0,0,0,0
10,AMATS-17478,AMATS-17478-2,AMATS289,AMATS,AMATS,5.281778191,0,0,0,0
10,AMATS-17484,AMATS-17484-2,AMATS635,AMATS,AMATS,0.75478902,0,0,0,0
10,AMATS-17498,AMATS-17498-3,AMATS216,AMATS,AMATS,2.964468919,0,0,0,0
10,AMATS-17500,AMATS-17500-2,AMATS326,AMATS,AMATS,40.48686296,0,0,0,0
10,AMATS-17589,AMATS-17589-1,AMATS126,AMATS,AMATS,52.92119661,0,0,0,0
10,AMATS-17662,AMATS-17662-1,AMATS210,AMATS,AMATS,24.45108691,0,0,0,0
